VCC	V(rc)	I(RC)
Step Information: VBB=9.5  (Step: 1/3)
2.800000000000000e+00	9.192172e-02	2.708078e-03
2.900000000000000e+00	9.324160e-02	2.806759e-03
3.000000000000000e+00	9.453987e-02	2.905460e-03
3.100000000000000e+00	9.581858e-02	3.004181e-03
3.200000000000000e+00	9.707958e-02	3.102920e-03
3.300000000000000e+00	9.832463e-02	3.201675e-03
3.400000000000000e+00	9.955537e-02	3.300445e-03
3.500000000000000e+00	1.007733e-01	3.399227e-03
3.600000000000000e+00	1.019799e-01	3.498020e-03
3.700000000000000e+00	1.031766e-01	3.596823e-03
3.800000000000000e+00	1.043646e-01	3.695635e-03
3.900000000000000e+00	1.055452e-01	3.794455e-03
4.000000000000000e+00	1.067196e-01	3.893280e-03
4.100000000000001e+00	1.078890e-01	3.992111e-03
4.200000000000000e+00	1.090546e-01	4.090945e-03
4.300000000000000e+00	1.102174e-01	4.189783e-03
4.400000000000000e+00	1.113786e-01	4.288621e-03
4.500000000000000e+00	1.125392e-01	4.387461e-03
4.600000000000001e+00	1.137005e-01	4.486300e-03
4.700000000000000e+00	1.148633e-01	4.585137e-03
4.800000000000001e+00	1.160290e-01	4.683971e-03
4.900000000000000e+00	1.171985e-01	4.782801e-03
5.000000000000000e+00	1.183731e-01	4.881627e-03
5.100000000000001e+00	1.195539e-01	4.980446e-03
5.200000000000000e+00	1.207421e-01	5.079258e-03
5.300000000000001e+00	1.219391e-01	5.178061e-03
5.400000000000000e+00	1.231460e-01	5.276854e-03
5.500000000000000e+00	1.243643e-01	5.375636e-03
5.600000000000001e+00	1.255954e-01	5.474404e-03
5.700000000000000e+00	1.268409e-01	5.573159e-03
5.800000000000001e+00	1.281024e-01	5.671897e-03
5.900000000000000e+00	1.293816e-01	5.770619e-03
6.000000000000000e+00	1.306805e-01	5.869320e-03
6.100000000000001e+00	1.320011e-01	5.967999e-03
6.200000000000000e+00	1.333455e-01	6.066654e-03
6.300000000000001e+00	1.347162e-01	6.165284e-03
6.400000000000000e+00	1.361159e-01	6.263884e-03
6.500000000000000e+00	1.375474e-01	6.362453e-03
6.600000000000001e+00	1.390140e-01	6.460986e-03
6.700000000000000e+00	1.405194e-01	6.559480e-03
6.800000000000001e+00	1.420675e-01	6.657932e-03
6.900000000000000e+00	1.436630e-01	6.756337e-03
7.000000000000000e+00	1.453112e-01	6.854689e-03
7.100000000000001e+00	1.470178e-01	6.952982e-03
7.200000000000000e+00	1.487899e-01	7.051210e-03
7.300000000000001e+00	1.506353e-01	7.149365e-03
7.400000000000000e+00	1.525636e-01	7.247436e-03
7.500000000000000e+00	1.545856e-01	7.345414e-03
7.600000000000001e+00	1.567148e-01	7.443285e-03
7.700000000000000e+00	1.589672e-01	7.541033e-03
7.800000000000001e+00	1.613623e-01	7.638637e-03
7.900000000000000e+00	1.639249e-01	7.736075e-03
8.000000000000000e+00	1.666859e-01	7.833314e-03
8.100000000000000e+00	1.696855e-01	7.930314e-03
8.200000000000001e+00	1.729786e-01	8.027022e-03
8.300000000000001e+00	1.766352e-01	8.123364e-03
8.400000000000000e+00	1.807593e-01	8.219241e-03
8.500000000000000e+00	1.855020e-01	8.314498e-03
8.600000000000000e+00	1.910994e-01	8.408900e-03
8.700000000000001e+00	1.979481e-01	8.502052e-03
8.800000000000001e+00	2.067859e-01	8.593214e-03
8.900000000000000e+00	2.192071e-01	8.680793e-03
9.000000000000000e+00	2.395273e-01	8.760473e-03
9.100000000000000e+00	2.821867e-01	8.817813e-03
9.200000000000001e+00	3.627613e-01	8.837239e-03
9.300000000000001e+00	4.541037e-01	8.845896e-03
9.400000000000000e+00	5.459462e-01	8.854054e-03
9.500000000000000e+00	6.378000e-01	8.862200e-03
9.600000000000001e+00	7.296541e-01	8.870346e-03
9.700000000000001e+00	8.215083e-01	8.878492e-03
9.800000000000001e+00	9.133626e-01	8.886637e-03
9.900000000000000e+00	1.005217e+00	8.894783e-03
1.000000000000000e+01	1.097071e+00	8.902929e-03
