VCC	V(rc)	I(RC)
Step Information: VBB=9.5  (Step: 1/3)
1.000000000000000e+01	7.998021e+00	2.001979e-03
Step Information: VBB=25.3  (Step: 3/3)
0.000000000000000e+00	1.207184e-02	-1.207184e-05
1.000000000000000e-01	3.695973e-02	6.304027e-05
2.000000000000000e-01	5.141701e-02	1.485830e-04
3.000000000000000e-01	6.146407e-02	2.385359e-04
4.000000000000000e-01	6.930274e-02	3.306973e-04
5.000000000000000e-01	7.581584e-02	4.241842e-04
6.000000000000001e-01	8.137753e-02	5.186225e-04
7.000000000000001e-01	8.631583e-02	6.136842e-04
8.000000000000000e-01	9.080198e-02	7.091980e-04
9.000000000000000e-01	9.494711e-02	8.050529e-04
1.000000000000000e+00	9.883282e-02	9.011672e-04
1.100000000000000e+00	1.025205e-01	9.974795e-04
1.200000000000000e+00	1.060580e-01	1.093942e-03
1.300000000000000e+00	1.094844e-01	1.190516e-03
1.400000000000000e+00	1.128324e-01	1.287168e-03
1.500000000000000e+00	1.161311e-01	1.383869e-03
1.600000000000000e+00	1.194071e-01	1.480593e-03
1.700000000000000e+00	1.226857e-01	1.577314e-03
1.800000000000000e+00	1.259928e-01	1.674007e-03
1.900000000000000e+00	1.293553e-01	1.770645e-03
2.000000000000000e+00	1.328029e-01	1.867197e-03
2.100000000000000e+00	1.363697e-01	1.963630e-03
2.200000000000000e+00	1.400963e-01	2.059904e-03
2.300000000000000e+00	1.440348e-01	2.155965e-03
2.400000000000000e+00	1.482488e-01	2.251751e-03
2.500000000000000e+00	1.528281e-01	2.347172e-03
2.600000000000000e+00	1.578984e-01	2.442101e-03
2.700000000000000e+00	1.636485e-01	2.536352e-03
2.800000000000000e+00	1.703808e-01	2.629619e-03
2.900000000000000e+00	1.786274e-01	2.721373e-03
3.000000000000000e+00	1.894509e-01	2.810549e-03
3.100000000000000e+00	2.054302e-01	2.894570e-03
3.200000000000000e+00	2.349409e-01	2.965059e-03
3.300000000000000e+00	3.031476e-01	2.996852e-03
3.400000000000000e+00	4.007258e-01	2.999274e-03
3.500000000000000e+00	5.006700e-01	2.999330e-03
3.600000000000000e+00	6.006688e-01	2.999331e-03
3.700000000000000e+00	7.006688e-01	2.999331e-03
3.800000000000000e+00	8.006687e-01	2.999331e-03
3.900000000000000e+00	9.006687e-01	2.999331e-03
4.000000000000000e+00	1.000669e+00	2.999331e-03
4.100000000000001e+00	1.100669e+00	2.999331e-03
4.200000000000000e+00	1.200669e+00	2.999331e-03
4.300000000000000e+00	1.300669e+00	2.999331e-03
4.400000000000000e+00	1.400669e+00	2.999331e-03
4.500000000000000e+00	1.500669e+00	2.999331e-03
4.600000000000001e+00	1.600669e+00	2.999331e-03
4.700000000000000e+00	1.700669e+00	2.999331e-03
4.800000000000001e+00	1.800669e+00	2.999331e-03
4.900000000000000e+00	1.900669e+00	2.999331e-03
5.000000000000000e+00	2.000669e+00	2.999331e-03
5.100000000000001e+00	2.100669e+00	2.999331e-03
5.200000000000000e+00	2.200669e+00	2.999331e-03
5.300000000000001e+00	2.300668e+00	2.999331e-03
5.400000000000000e+00	2.400669e+00	2.999331e-03
5.500000000000000e+00	2.500669e+00	2.999332e-03
5.600000000000001e+00	2.600668e+00	2.999332e-03
5.700000000000000e+00	2.700669e+00	2.999332e-03
5.800000000000001e+00	2.800668e+00	2.999332e-03
5.900000000000000e+00	2.900669e+00	2.999332e-03
6.000000000000000e+00	3.000669e+00	2.999332e-03
6.100000000000001e+00	3.100668e+00	2.999332e-03
6.200000000000000e+00	3.200669e+00	2.999332e-03
6.300000000000001e+00	3.300668e+00	2.999332e-03
6.400000000000000e+00	3.400668e+00	2.999332e-03
6.500000000000000e+00	3.500669e+00	2.999332e-03
6.600000000000001e+00	3.600668e+00	2.999332e-03
6.700000000000000e+00	3.700668e+00	2.999332e-03
6.800000000000001e+00	3.800668e+00	2.999332e-03
6.900000000000000e+00	3.900668e+00	2.999332e-03
7.000000000000000e+00	4.000669e+00	2.999332e-03
7.100000000000001e+00	4.100668e+00	2.999332e-03
7.200000000000000e+00	4.200668e+00	2.999332e-03
7.300000000000001e+00	4.300668e+00	2.999332e-03
7.400000000000000e+00	4.400668e+00	2.999332e-03
7.500000000000000e+00	4.500669e+00	2.999332e-03
7.600000000000001e+00	4.600668e+00	2.999332e-03
7.700000000000000e+00	4.700668e+00	2.999332e-03
7.800000000000001e+00	4.800668e+00	2.999332e-03
7.900000000000000e+00	4.900668e+00	2.999332e-03
8.000000000000000e+00	5.000669e+00	2.999332e-03
8.100000000000000e+00	5.100668e+00	2.999332e-03
8.200000000000001e+00	5.200668e+00	2.999332e-03
8.300000000000001e+00	5.300668e+00	2.999332e-03
8.400000000000000e+00	5.400668e+00	2.999332e-03
8.500000000000000e+00	5.500668e+00	2.999332e-03
8.600000000000000e+00	5.600668e+00	2.999332e-03
